Brand;Nome vino;Annata;Formato;Prezzo originale €;Prezzo scontato €;Sconto %;Data rilevazione;Link
BOTTER;Puglia IGT Rosso Appassimento 2024 Botter;2024;0,75 L;10.4;10.4;0.0%;2026-03-24;https://www.vino.com/dettaglio/puglia-primitivo-appassimento-velina-botter-2024.html
BOTTER;Prosecco Superiore di Asolo DOCG Botter;NV;0,75 L;11.4;10.8;5.3%;2026-03-24;https://www.vino.com/dettaglio/prosecco-superiore-asolo-docg-botter.html
BOTTER;Puglia IGT Primitivo 2024 Botter;2024;0,75 L;7.4;7.4;0.0%;2026-03-24;https://www.vino.com/dettaglio/puglia-primitivo-velina-uccellini-2024.html
BOTTER;Valdobbiadene Prosecco Superiore DOCG Botter;NV;0,75 L;12.3;12.3;0.0%;2026-03-24;https://www.vino.com/dettaglio/valdobbiadene-prosecco-superiore-docg-botter.html
LA DI MOTTE;Friuli DOC Grave Pinot Grigio 2023 La di Motte;2023;0,75 L;13.6;12.9;5.1%;2026-03-24;https://www.vino.com/dettaglio/friuli-doc-grave-pinot-grigio-la-di-motte-2023.html
LA DI MOTTE;Friuli DOC Grave Sauvignon 2022 La di Motte;2022;0,75 L;16.5;15.7;4.9%;2026-03-24;https://www.vino.com/dettaglio/friuli-doc-grave-sauvignon-la-di-motte-2022.html
LA DI MOTTE;Trevenezie IGT Rosato 2022 La di Motte;2022;0,75 L;14.9;14.2;4.7%;2026-03-24;https://www.vino.com/dettaglio/trevenezie-igt-rosato-la-di-motte-2022.html
LA DI MOTTE;Friuli DOC Refosco dal Peduncolo Rosso 2022 La di Motte;2022;0,75 L;13.0;13.0;0.0%;2026-03-24;https://www.vino.com/dettaglio/friuli-doc-refosco-dal-peduncolo-rosso-la-di-motte-2022.html
LA DI MOTTE;Trevenezie IGT Pinot Nero 2022 La di Motte;2022;0,75 L;12.5;12.5;0.0%;2026-03-24;https://www.vino.com/dettaglio/trevenezie-igt-pinot-nero-la-di-motte-2022.html
LAPILLI;Fiano Beneventano IGT 2023 Lapilli;2023;0,75 L;13.3;13.3;0.0%;2026-03-24;https://www.vino.com/dettaglio/fiano-beneventano-igt-lapilli-2023.html
LAPILLI;Aglianico Beneventano IGT 2023 Lapilli;2023;0,75 L;16.7;16.7;0.0%;2026-03-24;https://www.vino.com/dettaglio/benevento-igt-aglianico-lapilli-2023.html
LAPILLI;Greco di Tufo DOCG 2023 Lapilli;2023;0,75 L;18.6;18.6;0.0%;2026-03-24;https://www.vino.com/dettaglio/greco-di-tufo-docg-lapilli-2023.html
LAPILLI;Benevento IGT Falanghina 2023 Lapilli;2023;0,75 L;16.7;16.7;0.0%;2026-03-24;https://www.vino.com/dettaglio/benevento-igt-falanghina-lapilli-2023.html
ZACCAGNINI;Montepulciano d'Abruzzo DOC Il Tralcetto 2023 Zaccagnini;2023;0,75 L;9.2;9.2;0.0%;2026-03-24;https://www.vino.com/dettaglio/montepulciano-d-abruzzo-doc-il-tralcetto-zaccagnini-2023.html
ZACCAGNINI;Montepulciano d'Abruzzo DOC Il Tralcetto 2023 Zaccagnini, 6 bottiglie da 0,75 ℓ;2023;0,75 L;55.2;55.2;0.0%;2026-03-24;https://www.vino.com/dettaglio/montepulciano-d-abruzzo-doc-il-tralcetto-zaccagnini-2023_v.html
ZACCAGNINI;Montepulciano d'Abruzzo DOC Riserva Il Tralcetto 2021 Zaccagnini;2021;0,75 L;13.2;12.5;5.3%;2026-03-24;https://www.vino.com/dettaglio/montepulciano-dabruzzo-doc-riserva-il-tralcetto-zaccagnini-2021.html
ZACCAGNINI;Terre di Chieti IGT Pecorino La mia Pecora is Green Zaccagnini;NV;3 L, Bag in Box;14.9;14.9;0.0%;2026-03-24;https://www.vino.com/dettaglio/terre-di-chieti-igt-pecorino-la-mia-pecora-is-green-bag-in-box-zaccagnini.html
ZACCAGNINI;Montepulciano d'Abruzzo DOC La mia Pecora is Red 2023 Zaccagnini;2023;3 L, Bag in Box;14.9;14.9;0.0%;2026-03-24;https://www.vino.com/dettaglio/montepulciano-dabruzzo-doc-la-mia-pecora-is-red-zaccagnini-2023.html
ZACCAGNINI;Cerasuolo d'Abruzzo DOC La mia Pecora is Pink 2024 Zaccagnini;2024;3 L, Bag in Box;13.9;13.9;0.0%;2026-03-24;https://www.vino.com/dettaglio/cerasuolo-dabruzzo-doc-la-mia-pecora-is-pink-zaccagnini-2024.html
ZACCAGNINI;Trebbiano d'Abruzzo DOC San Clemente 2023 Zaccagnini;2023;0,75 L;18.1;18.1;0.0%;2026-03-24;https://www.vino.com/dettaglio/trebbiano-dabruzzo-doc-san-clemente-bianco-zaccagnini-2023.html
ZACCAGNINI;Abruzzo Pecorino DOC Il Tralcetto 2024 Zaccagnini;2024;0,75 L;12.6;12.6;0.0%;2026-03-24;https://www.vino.com/dettaglio/abruzzo-pecorino-doc-il-tralcetto-zaccagnini-2024.html
ZACCAGNINI;Tralcetto Vino Dealcolato Bianco Zaccagnini;NV;0,75 L;12.2;12.2;0.0%;2026-03-24;https://www.vino.com/dettaglio/tralcetto-vino-dealcolato-bianco-zaccagnini.html
ZACCAGNINI;Tralcetto Vino Dealcolato Rosso Zaccagnini;NV;0,75 L;12.2;12.2;0.0%;2026-03-24;https://www.vino.com/dettaglio/tralcetto-vino-dealcolato-rosso-zaccagnini.html
ZACCAGNINI;Cerasuolo d'Abruzzo DOC Chronicon 2024 Zaccagnini;2024;0,75 L;10.6;10.6;0.0%;2026-03-24;https://www.vino.com/dettaglio/cerasuolo-abruzzo-chronicon-zaccagnini-2024.html
ZACCAGNINI;Trebbiano d'Abruzzo DOC Il Bianco di Ciccio 2024 Zaccagnini;2024;0,75 L;9.0;9.0;0.0%;2026-03-24;https://www.vino.com/dettaglio/abruzzo-doc-il-bianco-di-ciccio-zaccagnini-2024.html
ZACCAGNINI;Montepulciano d'Abruzzo DOC Chronicon 2022 Zaccagnini;2022;0,75 L;11.2;11.2;0.0%;2026-03-24;https://www.vino.com/dettaglio/montepulciano-d-abruzzo-doc-chronicon-zaccagnini-2022.html
ZACCAGNINI;Abruzzo Pecorino DOC Chronicon 2024 Zaccagnini;2024;0,75 L;10.6;10.6;0.0%;2026-03-24;https://www.vino.com/dettaglio/abruzzo-pecorino-doc-chronicon-zaccagnini-2024.html
ZACCAGNINI;Cerasuolo d'Abruzzo DOC Il Tralcetto 2024 Zaccagnini;2024;0,75 L;9.0;9.0;0.0%;2026-03-24;https://www.vino.com/dettaglio/cerasuolo-d-abruzzo-doc-il-tralcetto-zaccagnini-2024.html
BARONE MONTALTO;Etna DOC Rosso Fumu 2021 Barone Montalto;2021;0,75 L;20.7;19.7;4.8%;2026-03-24;https://www.vino.com/dettaglio/etna-doc-rosso-fumu-barone-montalto-2021.html
BARONE MONTALTO;Etna DOC Bianco Fumu 2023 Barone Montalto;2023;0,75 L;20.7;19.7;4.8%;2026-03-24;https://www.vino.com/dettaglio/etna-doc-bianco-fumu-barone-montalto-2023.html
BARONE MONTALTO;Sicilia DOC Rosso Ammasso 2021 Barone Montalto;2021;0,75 L;21.9;21.9;0.0%;2026-03-24;https://www.vino.com/dettaglio/sicilia-doc-rosso-ammasso-barone-montalto-2021.html
BARONE MONTALTO;Terre Siciliane IGP Rosato Passivento 2021 Barone Montalto;2021;0,75 L;15.8;15.0;5.1%;2026-03-24;https://www.vino.com/dettaglio/terre-siciliane-igp-rosato-passivento-barone-montalto-2021.html
BARONE MONTALTO;Terre Siciliane IGP Bianco Passivento 2024 Barone Montalto;2024;0,75 L;15.8;15.8;0.0%;2026-03-24;https://www.vino.com/dettaglio/terre-siciliane-bianco-passivento-barone-montalto-2024.html
BARONE MONTALTO;Terre Siciliane IGT Syrah Due Mondi 2023 Barone Montalto;2023;0,75 L;12.4;12.4;0.0%;2026-03-24;https://www.vino.com/dettaglio/terre-siciliane-igp-syrah-acquarello-barone-montalto-2023.html
BARONE MONTALTO;Terre Siciliane IGP Rosso Passivento 2024 Barone Montalto;2024;0,75 L;16.1;15.3;5.0%;2026-03-24;https://www.vino.com/dettaglio/terre-siciliane-igt-passivento-barone-montalto-2024.html
RICOSSA;Barbaresco DOCG 2020 Ricossa;2020;0,75 L;25.3;25.3;0.0%;2026-03-24;https://www.vino.com/dettaglio/barbaresco-docg-ricossa-2020.html
RICOSSA;Barolo DOCG Riserva 2017 Ricossa;2017;0,75 L;40.4;40.4;0.0%;2026-03-24;https://www.vino.com/dettaglio/barolo-docg-riserva-ricossa-2017.html
RICOSSA;Barbera d'Asti Superiore DOCG 2019 Ricossa;2019;0,75 L;14.9;14.9;0.0%;2026-03-24;https://www.vino.com/dettaglio/barbera-asti-superiore-docg-ricossa-2019.html
RICOSSA;Langhe DOP Nebbiolo 2024 Ricossa;2024;0,75 L;16.2;16.2;0.0%;2026-03-24;https://www.vino.com/dettaglio/langhe-dop-nebbiolo-ricossa-2024.html
RICOSSA;Piemonte DOC Barbera Appassimento 2023 Ricossa;2023;0,75 L;11.7;11.7;0.0%;2026-03-24;https://www.vino.com/dettaglio/piemonte-doc-barbera-appassimento-ricossa-2023.html
CUVAGE;Piemonte DOC Brut Blanc de Blancs Cuvage;NV;0,75 L;20.7;19.7;4.8%;2026-03-24;https://www.vino.com/dettaglio/piemonte-doc-blanc-de-blancs-brut-cuvage.html
CUVAGE;Nebbiolo d'Alba DOC Rosé Brut 2020 Cuvage;2020;0,75 L;23.8;23.8;0.0%;2026-03-24;https://www.vino.com/dettaglio/nebbiolo-alba-doc-rose-brut-cuvage-2020.html
CUVAGE;Vino Spumante di Qualità Metodo Classico Pas Dosé Cuvage;NV;0,75 L;25.0;25.0;0.0%;2026-03-24;https://www.vino.com/dettaglio/vino-spumante-di-qualita-cuvage-de-cuvage-pas-dose-cuvage.html
